,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1998-04-30,88019.0,135389.0,105094.7,64662.94117647059,165931.44,150587.23076923078,164854.4,122590.0,178503.0,98675.72,77636.51612903226,223319.0,122917.5,83901.125,90901.25,87170.8,82090.5,81254.57142857143,76533.4,92065.75,127288.4,154136.85714285713,97481.34782608696,105596.6,,81755.75,,96085.0,169709.75,94297.33333333333,127303.0,112789.0,75733.96153846153,105084.91666666667,,85679.09375,54297.6,133088.07692307694,87655.125,136667.0,121698.16666666667,44150.0,83505.6,93279.1,173761.0,105778.75,94484.125,134974.9,57253.77777777778,106766.33333333333,127374.0
1998-05-31,84205.81818181818,135802.0,105366.3,64754.294117647056,167037.92,151268.0,165439.4,122748.0,178692.0,98902.24,77983.25806451614,223861.0,123034.5,84054.875,91282.25,87573.4,82252.0,81634.57142857143,77095.2,92303.25,127520.4,155253.2857142857,97992.60869565218,106007.8,,82235.0,,96254.66666666667,169990.5,94748.66666666667,127499.75,168954.0,75836.38461538461,105489.75,,86067.0,54523.65,133432.92307692306,87857.0,136997.0,122217.0,44458.0,83786.96,93533.7,173859.33333333334,105986.5,94799.625,135410.6,57445.444444444445,105699.14285714286,127090.0
1998-06-30,84515.63636363637,136611.0,105707.8,64966.58823529412,168142.72,151930.53846153847,165994.2,122887.0,178801.0,99173.56,78383.03225806452,224643.33333333334,123045.0,84194.625,91752.875,87964.0,82372.0,81971.92857142857,76306.83333333333,92533.5,127724.6,156444.14285714287,98572.39130434782,106426.8,,82659.5,,96664.33333333333,170310.75,95116.0,127763.5,157447.33333333334,75973.61538461539,105878.70833333333,,86472.3125,54744.85,133817.61538461538,88049.8125,137368.0,122768.5,44824.0,84087.48,93639.4,173866.66666666666,105734.75,95103.125,135998.9,57685.666666666664,106443.57142857143,127073.0
1998-07-31,84714.27272727272,137443.0,106129.0,65278.35294117647,169230.12,152838.61538461538,166464.8,122860.0,178913.0,99514.8,78753.80645161291,225775.0,123056.5,84458.375,92293.875,88452.6,82516.5,82239.78571428571,77118.66666666667,92831.0,127844.6,157581.14285714287,99145.13043478261,106940.2,,83020.25,,97168.33333333333,170573.5,95697.83333333333,128073.5,157251.0,75979.46153846153,106291.70833333333,,86885.1875,54965.85,134334.15384615384,88232.375,137786.0,123536.0,45209.0,84390.52,93876.4,173918.0,105513.25,95544.125,136627.2,58074.555555555555,107021.0,127124.0
1998-08-31,84798.54545454546,138415.0,106628.9,65565.94117647059,170330.92,153777.15384615384,167000.6,122917.0,179099.0,99842.32,79049.96774193548,226246.0,122974.0,84804.375,92865.375,88849.0,82739.0,82151.8,77727.83333333333,93364.5,128040.4,158675.0,99668.95652173914,107419.2,,83350.0,,97621.0,170868.25,96466.0,128439.0,157325.33333333334,76149.46153846153,106604.83333333333,,87286.8125,55228.45,134861.61538461538,90753.23529411765,138311.0,124222.83333333333,45710.0,84691.24,93994.8,174057.33333333334,105887.5,95905.25,137254.8,58442.88888888889,107707.71428571429,127589.0
1998-09-30,85026.18181818182,139153.0,107044.8,65730.05882352941,171453.92,154785.3076923077,167666.0,123260.0,179395.0,100184.16,79402.74193548386,226230.33333333334,123103.5,85300.75,93346.25,89280.0,83030.0,82496.33333333333,78559.66666666667,94031.0,128398.8,159709.2857142857,100173.08695652174,108093.8,,83688.25,,98037.0,171023.5,97260.66666666667,128891.25,157176.0,76324.19230769231,106909.16666666667,,87735.3125,55512.45,135329.6923076923,91017.17647058824,138794.0,124906.83333333333,45881.0,85041.04,94082.0,174303.0,106812.25,96164.375,137922.1,58713.88888888889,108417.71428571429,128012.0
1998-10-31,85391.90909090909,139855.0,107465.5,65875.41176470589,172647.96,155790.07692307694,168598.8,123790.0,179598.0,100556.32,79806.29032258065,225858.33333333334,123204.0,85831.875,93737.25,89587.6,83415.5,82873.73333333334,79273.66666666667,94739.25,128824.6,160807.14285714287,100658.86956521739,108747.8,,84041.75,,98436.33333333333,171288.25,98041.83333333333,129416.25,157199.33333333334,76688.07692307692,107252.54166666667,,88194.65625,55799.7,135819.07692307694,91317.4705882353,139424.0,125448.16666666667,46076.0,85434.84,94154.9,174413.66666666666,107847.75,96284.25,138480.7,58968.555555555555,109101.71428571429,128455.0
1998-11-30,85772.45454545454,141222.0,107853.8,65963.41176470589,173701.32,156696.23076923078,169605.8,124478.0,179759.0,100799.68,80233.32258064517,225601.33333333334,123487.5,86313.625,94011.625,89988.0,83788.0,83197.33333333333,79890.0,95243.25,129259.2,162030.57142857142,101233.21739130435,109489.2,,84366.0,,98814.66666666667,171455.0,98568.16666666667,129793.25,157098.33333333334,76815.92307692308,107638.5,,88592.09375,56015.45,136093.0,91477.23529411765,139932.0,125925.66666666667,46365.0,85747.92,94282.3,174697.0,108221.75,96404.875,138952.5,59007.22222222222,109704.0,128790.0
1998-12-31,86089.63636363637,142508.0,108267.4,66041.64705882352,174671.72,157696.61538461538,170528.2,125237.0,180042.0,101054.6,80595.32258064517,225197.66666666666,123602.5,86770.375,94305.375,90345.0,84125.0,83443.0,80320.0,95544.75,129640.2,163181.42857142858,101881.95652173914,110094.0,,84669.75,,99181.0,171542.0,99069.0,130107.25,157051.33333333334,76982.57692307692,107954.79166666667,,88904.90625,56173.7,136387.23076923078,91616.05882352941,140532.0,126363.83333333333,46768.0,86013.24,94355.7,174804.0,108423.25,96660.125,139281.7,59082.666666666664,110190.57142857143,129123.0
1999-01-31,86332.45454545454,144668.0,108503.0,64598.61111111111,171670.65384615384,158510.38461538462,171144.8,125834.0,180561.0,101126.68,80772.19354838709,225172.0,123632.5,87006.0,94612.0,90825.4,84528.5,83432.4,80762.66666666667,95881.0,129897.2,164429.42857142858,102051.41666666667,110778.2,,84842.75,,99388.0,171453.75,99520.16666666667,130368.5,157121.0,76988.5,108178.75,,89164.5625,56243.8,136213.53846153847,91702.0,140895.0,126844.66666666667,47322.0,86033.12,94396.9,174815.0,108510.25,96952.875,139196.5,58877.88888888889,110614.42857142857,129372.0
1999-02-28,86524.36363636363,146248.0,108828.8,63764.0,172100.92592592593,159663.3076923077,171509.2,126535.0,181329.0,101391.88,81025.25806451614,225431.33333333334,123770.0,87255.75,95030.125,91370.4,84958.5,83505.6,81278.16666666667,96308.75,130189.4,165723.42857142858,102546.79166666667,111679.0,,85098.0,,99636.0,171186.0,99976.5,130927.25,157223.33333333334,77118.30769230769,108435.79166666667,,89419.09375,56323.45,136240.46153846153,91869.76470588235,141506.0,127527.0,48536.0,86038.4,94635.6,174705.66666666666,108857.75,97395.125,139334.8,58749.77777777778,111085.85714285714,129615.0
1999-03-31,84671.58333333333,147778.0,109211.7,63799.52631578947,173124.44444444444,160985.46153846153,172139.4,127031.0,182065.0,101673.24,81285.93548387097,225631.66666666666,123937.0,87479.625,95405.375,91851.2,85401.5,83571.13333333333,81671.66666666667,96847.0,130414.4,167250.14285714287,103108.625,112733.8,,85418.25,,99924.66666666667,171086.5,100591.83333333333,131693.25,157193.66666666666,77248.76923076923,108602.58333333333,,89679.4375,56429.1,136233.6923076923,92006.82352941176,142145.0,123688.28571428571,50127.0,86046.12,94939.3,174719.0,109112.75,97860.75,139669.5,58528.0,111432.57142857143,130083.0
